OTU,Domaine,Phylum,Classe,Ordre,Famille,Genre,Espece
Otu02734,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cyclobacteriaceae,Echinicola,Echinicola shivajiensis
Otu02735,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nakamurellaceae,Nakamurellaceae_unclassified,unclassified unclassified
Otu02736,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium unclassified
Otu02737,Bacteria,Proteobacteria,Betaproteobacteria,Methylophilales,Methylophilaceae,Methylotenera,Methylotenera versatilis
Otu02738,Bacteria,Firmicutes,Clostridia,Clostridiales,Caldicoprobacteraceae,Caldicoprobacter,Caldicoprobacter unclassified
Otu02739,Bacteria,Planctomycetes,Planctomycetia,Gemmatales,Gemmataceae,Gemmataceae_unclassified,unclassified unclassified
Otu02740,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Orientia,Orientia chuto
Otu02741,Bacteria,NKB19,TSBW08,TSBW08_unclassified,TSBW08_unclassified,TSBW08_unclassified,unclassified unclassified
Otu02742,Bacteria,Cyanobacteria,Oscillatoriophycideae,Chroococcales,Gomphosphaeriaceae,Woronichinia,Woronichinia naegeliana
Otu02743,Bacteria,Planctomycetes,Planctomycetia,Pirellulales,Pirellulaceae,Pirellulaceae_unclassified,unclassified unclassified
Otu02744,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardiaceae,Nocardia,Nocardia unclassified
Otu02745,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseomonas,Roseomonas stagni
Otu02746,Bacteria,Cyanobacteria,Nostocophycideae,Nostocales,Nostocaceae,Dolichospermum,Dolichospermum unclassified
Otu02747,Bacteria,Proteobacteria,Deltaproteobacteria,NB1-j,NB1-i,NB1-i_unclassified,unclassified unclassified
Otu02748,Bacteria,(Thermi),Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus unclassified
Otu02749,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Cryomorphaceae,Cryomorphaceae_unclassified,unclassified unclassified
Otu02750,Bacteria,Cyanobacteria,Synechococcophycideae,Pseudanabaenales,Pseudanabaenaceae,Leptolyngbya,Leptolyngbya margaretheana
Otu02751,Bacteria,Chloroflexi,Thermomicrobia,AKYG1722,AKYG1722_unclassified,AKYG1722_unclassified,unclassified unclassified
Otu02752,Bacteria,Chloroflexi,Anaerolineae,Caldilineales,Caldilineaceae,Caldilineaceae_unclassified,unclassified unclassified
Otu02753,Bacteria,Planctomycetes,Phycisphaerae,CCM11a,CCM11a_unclassified,CCM11a_unclassified,unclassified unclassified
Otu02754,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Cesiribacter,Cesiribacter andamanensis
Otu02755,Bacteria,Planctomycetes,Planctomycetia,Pirellulales,Pirellulaceae,Pirellulaceae_unclassified,unclassified unclassified
Otu02756,Bacteria,OP3,koll11,GIF10,kpj58rc,kpj58rc_unclassified,unclassified unclassified
Otu02757,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Denitrobacter,Denitrobacter unclassified
Otu02758,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,(Weeksellaceae),Chryseobacterium,Chryseobacterium unclassified
Otu02759,Bacteria,Proteobacteria,TA18,CV90,CV90_unclassified,CV90_unclassified,unclassified unclassified
Otu02760,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Runella,Runella unclassified
Otu02761,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Anaeromyxobacter,Anaeromyxobacter unclassified
Otu02762,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Clostridium,Clostridium symbiosum
Otu02763,Bacteria,Proteobacteria,TA18,PHOS-HD29,PHOS-HD29_unclassified,PHOS-HD29_unclassified,unclassified unclassified
Otu02764,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bacteriovoracaceae,Bacteriovoracaceae_unclassified,unclassified unclassified
Otu02765,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Aminobacter,Aminobacter unclassified
Otu02766,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Haliangiaceae,Haliangiaceae_unclassified,unclassified unclassified
Otu02767,Bacteria,Bacteroidetes,(Rhodothermi),(Rhodothermales),Rhodothermaceae,Rubricoccus,Rubricoccus unclassified
Otu02768,Bacteria,Acidobacteria,Holophagae,Holophagales,Holophagaceae,Holophaga,Holophaga foetida
Otu02769,Bacteria,Proteobacteria,Deltaproteobacteria,MIZ46,MIZ46_unclassified,MIZ46_unclassified,unclassified unclassified
Otu02770,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Cytophagales,Cytophagales QSSC5-1
Otu02771,Bacteria,Acidobacteria,Solibacteres,Solibacterales,AKIW659,AKIW659_unclassified,unclassified unclassified
Otu02772,Bacteria,Acidobacteria,(Chloracidobacteria),DS-100,DS-100_unclassified,DS-100_unclassified,unclassified unclassified
Otu02773,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Dysgonomonas,Dysgonomonas unclassified
