OTU;s1;s2;s3;s4;s5;s6;s7;s8;s9;s10;s11;s12;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30;s31;s32;s33;s34;s35;s36;s37;s38;s39;s40;s41;s42;s43;s44;s45;s13;s46;s47;s48;s49;s50;s51;s52;s53;s54;s55;s56;s57;s58;s59;s60;s61;s62;s63;s64;s65;s66;s67;s68;s69;s70;s71;s72;s73;s74;s75;s76;s77;s78;s79;s80;s81;s82;s83;s84;s85;s86;s87;s88;s89;s90;s91;s92;s93;s94;s95;s96;s97;s98;s99;s100;s101;s102;s103;s104;s105;s106;s107;s108;s109;s110
Otu00012;135;364;255;47;4;85;63;93;140;200;109;359;78;120;951;250;150;262;109;195;709;475;345;15;13;494;566;1535;68;401;211;97;152;211;423;27;74;140;865;171;559;40;447;315;109;300;30;514;343;489;242;55;289;32;406;172;679;143;64;345;61;459;316;89;53;597;238;293;100;418;511;348;450;250;856;29;566;94;79;458;42;263;161;560;140;397;115;467;109;152;944;103;48;475;107;465;274;158;121;631;713;500;86;60;41;471;197;194;301;304
Otu00013;34;848;162;39;22;60;34;60;181;265;248;208;217;7;198;167;70;64;48;54;195;182;113;11;118;199;336;177;24;138;30;44;570;151;151;267;27;46;491;1338;3161;66;229;418;169;48;29;66;204;250;1715;315;77;54;81;298;258;46;1606;26;14;198;82;1372;89;178;147;40;5;61;154;117;73;62;378;1288;55;16;29;28;886;74;250;55;217;66;17;172;408;85;385;522;288;887;113;144;225;190;217;157;201;204;137;107;99;1441;911;1158;109;119
Otu00014;1116;5;2;1063;3741;610;1318;431;345;0;320;1;16;2355;0;0;0;79;92;82;0;0;0;0;13;0;0;1;2;219;447;495;95;122;28;61;1675;11;1;59;214;110;2;560;646;1165;417;9;4;10;14;8;381;410;2;2;2;954;0;359;47;1;0;0;0;1;0;193;151;1;0;0;0;0;1;0;0;358;440;0;17;0;2;0;104;0;885;6;1;813;0;6;25;1;1446;4;283;273;269;0;0;0;6;4;2;2;2;5;175;0
Otu00015;125;483;134;129;55;31;182;161;179;167;170;37;444;28;130;84;73;131;164;296;139;123;186;57;73;187;192;290;197;818;98;62;210;121;0;77;14;13;296;42;50;5;115;57;58;17;75;62;560;53;0;73;44;45;101;92;43;42;2;183;229;195;388;19;238;136;224;181;242;240;533;666;318;230;70;29;190;178;74;442;33;408;142;462;332;253;71;534;104;239;1338;168;341;231;592;344;981;723;653;405;441;376;682;587;562;116;133;98;503;160
Otu00016;0;2;0;0;69;0;109;0;3;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;129;0;0;0;8;0;0;5;0;0;0;141;1;4;1;2372;1621;2;0;26;94;196;2;47;1;1185;1;25;2;0;4;0;23;0;0;0;0;2;0;1;0;5;3;0;0;1;0;1;0;1;12;0;0;0;0;0;0;0;8;0;0;0;0;0;0;93;7;103;2443;6;707;18;772;613;551;22;21;17;3489;2787;2601;5;10;10;3;0
Otu00017;36;60;381;76;8;95;44;98;56;333;44;35;17;8;142;244;158;28;11;18;169;602;346;15;69;608;176;317;15;123;7;6;208;4;104;239;14;4;620;861;197;3;175;11;45;38;49;91;624;139;0;547;117;118;67;43;113;155;0;32;13;58;346;2;4;154;219;9;11;25;185;170;84;222;231;2;161;22;6;65;0;319;10;224;169;261;40;495;764;86;974;1522;243;83;104;488;211;109;95;512;592;533;324;296;251;23;43;15;112;117
Otu00018;1402;2;5;337;756;844;1279;748;570;1;561;2;0;872;0;0;2;165;182;95;1;0;0;0;0;0;2;0;0;203;743;66;34;15;0;28;887;15;4;11;8;9;1;363;762;288;380;0;3;1;4;10;31;41;2;0;2;1377;0;107;206;0;1;0;5;0;2;814;574;1;0;0;2;0;20;0;0;444;759;5;33;6;26;0;67;0;891;2;0;80;0;1;10;0;499;2;75;64;75;0;1;0;0;0;0;1;0;0;215;4
Otu00019;60;35;66;52;28;49;32;116;67;309;38;195;3;18;1010;90;129;46;62;71;680;258;288;8;139;134;114;1041;18;82;23;10;272;3;12;13;12;3;173;46;0;1;325;16;14;26;19;240;356;22;12;29;18;37;100;29;21;30;30;65;81;113;340;12;40;178;205;26;44;51;180;273;313;89;125;20;490;55;2;83;11;529;2;615;90;725;87;604;80;73;436;63;8;27;43;638;35;22;12;898;1091;614;7;7;7;69;54;28;58;85
Otu00020;63;56;176;25;1;26;12;96;77;178;96;38;3;1;82;471;199;34;104;49;93;237;175;53;216;385;187;162;38;116;13;38;263;9;163;247;1;3;86;127;118;1;88;3;3;116;59;489;345;91;5;153;257;162;220;24;197;21;18;109;30;177;231;34;8;318;548;23;37;137;372;360;111;705;815;18;118;24;5;180;24;170;119;148;39;80;13;222;92;13;250;56;21;116;11;226;29;24;19;293;311;271;11;17;3;187;35;44;74;489
Otu00021;664;0;0;494;1194;521;590;240;119;0;114;0;7;1596;0;0;0;44;82;41;0;0;0;0;0;0;0;0;2;142;373;199;34;54;12;21;1164;10;0;18;107;31;1;319;362;599;233;0;0;6;0;4;83;72;0;0;2;689;1;35;23;0;0;0;1;0;0;144;126;1;1;0;0;1;5;0;0;241;279;3;8;0;0;1;56;0;633;1;1;592;0;8;28;0;1052;0;195;229;200;0;0;1;6;3;5;0;0;2;153;0
Otu00022;260;552;5;184;400;127;664;144;104;5;147;323;1;487;98;8;8;200;77;33;159;14;33;0;87;7;97;342;843;111;233;319;48;58;29;16;235;44;21;16;16;45;97;218;211;247;108;38;10;11;19;9;415;403;91;40;19;230;164;163;72;26;33;265;117;25;40;132;103;32;36;48;230;34;12;339;249;171;387;38;473;18;94;159;100;124;273;18;8;158;16;14;28;304;293;13;130;98;86;3;5;4;8;14;12;146;26;41;51;30
Otu00023;28;0;0;204;132;134;2343;221;73;0;346;0;0;148;2;9;0;432;380;126;3;18;14;0;0;0;1;0;0;167;8;12;11;1;0;4;217;2;616;5;0;6;148;196;371;271;219;3;10;3;0;13;798;916;21;4;14;239;0;1907;180;172;27;16;2;127;5;50;72;3;3;0;0;2;13;0;0;315;82;4;2;3;11;0;7;2;422;31;15;24;12;0;8;0;225;6;368;274;210;49;51;38;21;23;35;0;1;0;139;0
Otu00024;10;8;199;17;1;51;4;69;64;586;88;12;3;2;4;465;247;19;8;21;8;392;232;0;92;499;210;16;8;68;12;12;447;3;41;82;7;3;157;88;192;2;18;0;5;36;71;242;476;144;6;194;47;11;123;26;236;6;9;17;10;79;299;18;1;62;591;7;14;52;130;176;0;100;115;6;4;37;0;14;4;229;11;5;72;0;15;616;371;6;336;182;204;13;25;229;33;33;32;422;678;402;224;185;139;6;33;16;64;139
Otu00025;4;0;0;11;19;16;18;3;0;3;0;0;0;3;0;0;0;3;2;1;0;2;3;0;0;1;0;0;0;13;17;0;0;0;0;1;3;0;1;0;0;0;0;17;12;4;0;3;1;2;0;0;0;0;0;0;2;1;0;0;3;0;0;0;0;0;0;5;7;1;0;2;0;0;0;0;0;3;3;0;0;1;1;0;0;0;4;0;0;18;3;0;12;0;197;1;4307;3479;3286;9;23;23;68;47;57;2;6;4;6;0
Otu00026;67;2;434;157;4;726;202;295;137;24;92;2;3;2;14;74;81;253;130;205;31;66;78;42;1555;176;43;30;50;1151;6;5;13;3;126;59;1;0;4;149;5;0;5;6;2;38;722;5;166;25;1;143;8;7;5;8;23;129;20;41;18;27;4;2;2;28;85;14;52;3;45;18;4;54;40;7;0;271;6;3;0;56;23;0;270;7;535;172;105;7;29;196;48;0;3;4;10;5;6;26;14;28;28;53;35;0;0;0;1388;36
Otu00027;77;8;189;290;7;921;8;655;495;211;466;127;11;7;89;38;33;60;7;61;160;88;85;0;15;77;7;50;27;130;2;5;37;13;0;23;37;6;152;42;0;0;48;1;88;16;503;21;241;13;0;300;30;83;26;21;7;334;6;41;57;33;35;2;43;24;56;17;77;36;102;114;101;63;23;0;29;272;7;23;3;332;6;52;68;32;120;94;76;223;379;284;116;6;588;25;325;257;185;50;46;49;89;86;93;2;9;2;189;101
Otu00028;0;320;0;1;0;2;0;1;0;0;2;1;14;0;55;0;0;3;2;0;3;0;1;0;0;0;33;0;5;0;0;779;2;1373;0;0;0;317;0;0;0;20;11;0;0;0;3;0;5;0;57;2;0;0;2;113;0;2;50;0;10;5;4;211;3;0;2;0;5;2;3;6;11;0;0;1;5;0;3;3;301;5;26;13;34;35;1;21;2;1;2;0;1;1616;11;1;2;3;2;0;3;3;48;30;5;4661;439;672;0;3
Otu00029;15;4;370;4;2;32;13;92;40;194;24;0;1;0;71;240;92;18;7;21;68;508;195;0;55;278;32;66;3;76;13;0;34;0;10;22;3;0;6;2;0;0;0;1;0;11;10;6;143;12;0;575;30;30;30;15;226;79;3;71;61;75;365;6;2;1529;671;49;154;43;414;449;14;871;461;6;24;17;2;20;2;282;28;48;46;14;3;161;483;0;86;98;16;0;6;39;3;0;6;20;8;18;0;7;0;0;0;0;47;751
Otu00030;70;19;476;47;2;91;12;44;145;163;96;196;1;0;219;202;113;40;12;44;131;151;171;23;294;329;100;251;13;146;11;13;91;4;43;52;2;0;78;139;2;0;82;2;2;5;6;155;199;2;2;41;12;4;66;11;21;47;9;9;26;67;106;6;24;32;143;3;33;33;249;298;394;141;23;3;463;57;0;36;10;279;18;660;150;442;47;312;39;5;252;169;24;21;12;204;7;7;8;262;273;293;24;16;11;30;16;11;132;206
Otu00031;192;8;16;86;83;100;169;155;32;25;87;0;2;418;0;32;55;162;277;207;1;61;89;0;258;29;90;0;5;200;167;33;54;8;551;29;233;0;19;27;53;0;13;149;114;686;201;12;14;17;0;7;587;498;42;6;70;116;2;785;143;113;39;20;2;466;37;254;113;96;50;71;0;27;84;7;2;86;132;109;4;34;174;0;34;2;56;28;25;216;60;32;16;4;223;7;124;123;73;3;8;7;0;4;6;0;2;0;162;50
Otu00032;10;7;50;784;10;191;66;100;13;15;4;4;3;0;7;15;20;27;1;18;0;3;21;0;0;7;0;4;0;43;0;3;19;0;0;50;0;0;328;30;0;0;31;7;11;11;50;9;86;9;0;79;2;4;1;1;1;54;0;0;0;0;2;1;0;0;4;0;0;0;1;6;0;8;0;0;0;19;3;4;2;118;1;0;283;12;270;504;2;151;229;403;36;0;181;156;1382;614;514;771;1094;663;172;384;292;2;83;7;57;19
Otu00033;445;0;0;93;411;110;498;225;228;0;145;0;0;991;2;4;14;107;342;82;0;5;12;0;0;3;29;0;12;67;208;96;47;5;2;5;403;1;2;4;2;7;0;44;97;39;49;0;3;0;0;0;28;12;64;4;0;572;0;67;335;536;19;23;56;7;14;145;124;125;8;18;1;2;18;0;2;323;1344;576;62;6;539;1;51;0;401;13;3;27;0;0;0;0;96;3;18;22;12;0;3;0;3;0;0;0;0;0;108;5
Otu00034;12;0;49;146;1;176;2;60;31;111;20;0;0;0;0;423;139;10;0;2;1;90;58;0;31;117;61;0;0;25;3;16;46;2;0;117;0;1;9;167;0;0;15;0;3;1;44;51;93;2;0;665;13;1;35;5;0;4;0;0;0;32;119;3;0;3;112;0;2;38;103;329;0;52;0;0;1;17;1;58;0;165;0;0;41;0;9;271;302;4;77;182;757;1;60;51;107;105;91;158;351;282;1270;1006;853;2;13;0;11;39
Otu00035;8;4;411;40;0;72;0;82;85;162;35;0;0;0;4;431;264;9;4;10;3;69;115;38;690;205;182;0;9;45;9;19;205;0;149;323;9;0;50;183;54;1;26;0;3;16;6;155;86;39;0;22;35;18;249;18;214;9;2;7;8;94;66;2;0;42;103;4;6;39;101;104;0;194;89;0;2;14;3;34;2;136;17;0;235;0;20;330;32;7;183;842;527;6;4;238;7;4;6;254;167;222;192;160;149;0;2;1;49;306
Otu00036;117;108;19;34;74;19;20;77;85;163;52;144;0;172;149;16;35;31;164;77;40;140;123;0;18;152;161;165;241;102;166;32;91;9;12;1;94;6;78;19;34;2;63;80;41;28;12;21;47;1;5;5;14;6;25;6;32;77;7;132;102;72;206;43;3;108;31;335;201;133;213;371;79;49;58;25;117;50;146;95;21;238;531;258;27;267;74;310;8;61;183;15;15;170;81;113;60;56;59;96;130;113;4;7;4;223;38;66;63;133
Otu00037;17;2;886;5;0;7;0;9;13;60;23;0;0;0;5;116;67;6;4;9;0;19;21;7;95;122;41;0;2;26;4;14;102;0;51;43;0;0;15;41;0;0;10;0;2;0;2;115;24;0;0;0;5;0;24;29;0;1;0;2;1;23;30;2;0;0;82;0;14;13;136;376;0;477;10;1;1;47;0;53;2;965;6;1;339;2;22;1880;1;0;193;101;1;3;1;416;4;3;3;295;225;280;2;1;5;2;18;6;32;1347
